n,onda
1,-7086
2,-7452
3,-11564
4,-7913
5,-9853
6,-6819
7,-7626
8,-8698
9,-7939
10,-9213
11,-11394
12,-9577
13,-13906
14,-18969
15,-21274
16,-14968
17,-25346
18,-20337
19,-23622
20,-16958
21,-21526
22,-30675
23,-23552
24,-20766
25,-21484
26,-23864
27,-23216
28,-28660
29,-27055
30,-25298
31,-21170
32,-20754
33,-26439
34,-23081
35,-19572
36,-18407
37,-12686
38,-17096
39,-21903
40,-18417
41,-15004
42,-20941
43,-17868
44,-18800
45,-16588
46,-13766
47,-8749
48,-6895
49,-5482
50,-3738
51,-1671
52,2002
53,7879
54,10934
55,13411
56,15690
57,14588
58,9379
59,8950
60,6448
61,4300
62,5135
63,7998
64,7579
65,6821
66,6897
67,6886
68,4479
69,4839
70,6970
71,5612
72,6581
73,10607
74,12057
75,14387
76,12502
77,11265
78,10594
79,18374
80,23671
81,30875
82,26235
83,-29302
84,26051
85,23348
86,23182
87,18279
88,16965
89,24113
90,21565
91,20004
92,14591
93,19717
94,16959
95,20059
96,22308
97,27575
98,21691
99,21479
100,17697
